"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","REM","EQD"
"42809099999","2023-05-29T21:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","250,1,N,0036,1","99999,9,9,N","003500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"05,1",,,,"MET060METAR VECC 292130Z 25007KT 3500 HZ FEW020 30/27 Q1007 NOSIG=",
"42809099999","2023-05-29T22:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","260,1,N,0031,1","99999,9,9,N","003500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"05,1",,,,"MET060METAR VECC 292200Z 26006KT 3500 HZ FEW020 30/27 Q1007 NOSIG=",
"42809099999","2023-05-29T22:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","260,1,N,0021,1","99999,9,9,N","003500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"05,1",,,,"MET060METAR VECC 292230Z 26004KT 3500 HZ FEW020 30/27 Q1007 NOSIG=",
"42809099999","2023-05-29T23:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,N","003500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"05,1",,,,"MET060METAR VECC 292300Z 25004KT 3500 HZ FEW020 30/27 Q1007 NOSIG=",
"42809099999","2023-05-29T23:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","250,1,N,0021,1","03048,1,C,N","003100,1,9,9","+0290,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9","04,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"05,1",,,,"MET076METAR VECC 292330Z 25004KT 3100 HZ FEW020 SCT100 29/27 Q1007 BECMG 30 00 BR=",
"42809099999","2023-05-30T00:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-12","99999","V020","270,1,N,0005,1","22000,1,9,N","002000,1,9,9","+0294,1","+0245,1","10074,1",,"0,1,02,1","0,1,02,1",,"02,1,+00600,1,06,1",,,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-007,1","05,1",,,,"SYN06442809 31595 22701 10294 20245 40074 70500 82500 333 59007 82620=",
"42809099999","2023-05-30T00:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","260,1,N,0021,1","03048,1,C,N","002400,1,9,9","+0290,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9","04,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"10,1",,,,"MET067METAR VECC 300000Z 26004KT 2400 BR FEW020 SCT100 29/27 Q1007 NOSIG=",
"42809099999","2023-05-30T00:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","250,1,N,0021,1","03048,1,C,N","002500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+00610,1,99,9","04,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10070,1,99999,9",,"10,1",,,,"MET067METAR VECC 300030Z 25004KT 2500 BR FEW020 SCT100 30/27 Q1007 NOSIG=",
"42809099999","2023-05-30T01:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","240,1,N,0021,1","99999,9,9,N","002500,1,9,9","+0300,1","+0270,1","99999,9",,,,,"02,1,+03048,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9",,,"10080,1,99999,9",,"10,1",,,,"MET060METAR VECC 300100Z 24004KT 2500 BR FEW100 30/27 Q1008 NOSIG=",
"42809099999","2023-05-30T01:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,N","002800,1,9,9","+0310,1","+0270,1","99999,9",,,,,"02,1,+03048,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9",,,"10080,1,99999,9",,"05,1",,,,"MET060METAR VECC 300130Z 25004KT 2800 HZ FEW100 31/27 Q1008 NOSIG=",
"42809099999","2023-05-30T02:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,N","002800,1,9,9","+0310,1","+0260,1","99999,9",,,,,"02,1,+03048,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9",,,"10080,1,99999,9",,"05,1",,,,"MET068METAR VECC 300200Z 27004KT 2800 HZ FEW100 31/26 Q1008 BECMG 3000 HZ=",
"42809099999","2023-05-30T02:30:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,N","003200,1,9,9","+0320,1","+0260,1","99999,9",,,,,"02,1,+03048,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9",,,"10080,1,99999,9",,"05,1",,,,"MET060METAR VECC 300230Z 27004KT 3200 HZ FEW100 32/26 Q1008 NOSIG=",
"42809099999","2023-05-30T03:00:00","4","22.654739","88.446722","4.87","NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0334,1","+0271,1","10087,1",,"0,1,02,1","0,1,02,1",,"02,1,+00600,1,06,1",,,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00600,1,99,9,99,9","240,N,+0290,1",,,"9,9,999,9,-008,1","05,1",,,,"SYN08042809 31595 20000 10334 20271 40087 70500 82500 333 20290 59008 82620 555 10236=",
