loss,val_loss,learning_rate,epoch
0.413058876991272,0.3110440969467163,0.0010000000474974513,1
0.3443296551704407,0.29297810792922974,0.0010000000474974513,2
0.3323240578174591,0.2837866544723511,0.0010000000474974513,3
0.32544857263565063,0.2776389718055725,0.0010000000474974513,4
0.3201027512550354,0.27019137144088745,0.0010000000474974513,5
0.3142237365245819,0.2564556300640106,0.0010000000474974513,6
0.30463463068008423,0.2438577562570572,0.0010000000474974513,7
0.291276752948761,0.22647716104984283,0.0010000000474974513,8
0.2799253463745117,0.21845632791519165,0.0010000000474974513,9
0.2706732451915741,0.21059951186180115,0.0010000000474974513,10
0.2661500573158264,0.20340490341186523,0.0010000000474974513,11
0.25871002674102783,0.19835467636585236,0.0010000000474974513,12
0.2514314353466034,0.19396111369132996,0.0010000000474974513,13
0.2483312338590622,0.19059911370277405,0.0010000000474974513,14
0.24709047377109528,0.18809548020362854,0.0010000000474974513,15
0.24356120824813843,0.18533332645893097,0.0010000000474974513,16
0.24246525764465332,0.18258678913116455,0.0010000000474974513,17
0.24087755382061005,0.18287362158298492,0.0010000000474974513,18
0.23874160647392273,0.1803250014781952,0.0010000000474974513,19
0.2399914562702179,0.17964871227741241,0.0010000000474974513,20
0.23550748825073242,0.17789338529109955,0.0010000000474974513,21
0.23600120842456818,0.17724116146564484,0.0010000000474974513,22
0.23373793065547943,0.1766134351491928,0.0010000000474974513,23
0.23351217806339264,0.17505887150764465,0.0010000000474974513,24
0.23287956416606903,0.1750197857618332,0.0010000000474974513,25
0.23180663585662842,0.17370308935642242,0.0010000000474974513,26
0.23256035149097443,0.17755639553070068,0.0010000000474974513,27
0.23220118880271912,0.17477743327617645,0.0010000000474974513,28
0.22971004247665405,0.1726907193660736,0.0010000000474974513,29
0.22853997349739075,0.17324572801589966,0.0010000000474974513,30
0.2291494756937027,0.17284676432609558,0.0010000000474974513,31
0.22807832062244415,0.17198528349399567,0.0010000000474974513,32
0.2292521446943283,0.17147304117679596,0.0010000000474974513,33
0.22651150822639465,0.17016005516052246,0.0010000000474974513,34
0.23232118785381317,0.17258213460445404,0.0010000000474974513,35
0.22841030359268188,0.17027543485164642,0.0010000000474974513,36
0.22454343736171722,0.1692947894334793,0.0010000000474974513,37
0.2248530238866806,0.1690301150083542,0.0010000000474974513,38
0.2252310961484909,0.17326875030994415,0.0010000000474974513,39
0.22534187138080597,0.17149417102336884,0.0010000000474974513,40
0.2272530496120453,0.17002561688423157,0.0010000000474974513,41
0.22324909269809723,0.16936174035072327,0.0010000000474974513,42
0.22485238313674927,0.16827812790870667,0.0010000000474974513,43
0.22341948747634888,0.16814669966697693,0.0010000000474974513,44
0.22830776870250702,0.16939197480678558,0.0010000000474974513,45
0.22164438664913177,0.16824568808078766,0.0010000000474974513,46
0.2215680181980133,0.16943664848804474,0.0010000000474974513,47
0.2213858962059021,0.16763989627361298,0.0010000000474974513,48
0.2225247472524643,0.17023548483848572,0.0010000000474974513,49
0.22092734277248383,0.16913296282291412,0.0010000000474974513,50
0.2212579995393753,0.16815857589244843,0.0010000000474974513,51
0.21977479755878448,0.1687021404504776,0.0010000000474974513,52
0.2192867398262024,0.16891273856163025,0.0010000000474974513,53
0.21732009947299957,0.16648592054843903,0.0005000000237487257,54
0.21581944823265076,0.16527214646339417,0.0005000000237487257,55
0.21550995111465454,0.16749650239944458,0.0005000000237487257,56
0.2171100229024887,0.16591718792915344,0.0005000000237487257,57
0.21469804644584656,0.16546180844306946,0.0005000000237487257,58
0.21469399333000183,0.16580338776111603,0.0005000000237487257,59
0.21480613946914673,0.1644359678030014,0.0005000000237487257,60
0.21473152935504913,0.165732741355896,0.0005000000237487257,61
0.2141728699207306,0.16521242260932922,0.0005000000237487257,62
0.21443375945091248,0.16544443368911743,0.0005000000237487257,63
0.21572628617286682,0.16613908112049103,0.0005000000237487257,64
0.21333742141723633,0.16506703197956085,0.0005000000237487257,65
0.2127356380224228,0.16520105302333832,0.0002500000118743628,66
0.21245776116847992,0.16369299590587616,0.0002500000118743628,67
0.21173475682735443,0.1640436351299286,0.0002500000118743628,68
0.21154317259788513,0.163151353597641,0.0002500000118743628,69
0.21189114451408386,0.16293245553970337,0.0002500000118743628,70
0.21131956577301025,0.16317874193191528,0.0002500000118743628,71
0.2112245112657547,0.16394558548927307,0.0002500000118743628,72
0.21128341555595398,0.16377024352550507,0.0002500000118743628,73
0.21122941374778748,0.16328184306621552,0.0002500000118743628,74
0.21076583862304688,0.16378752887248993,0.0002500000118743628,75
0.21030773222446442,0.1624811887741089,0.0001250000059371814,76
0.2100287675857544,0.16301579773426056,0.0001250000059371814,77
0.2101708948612213,0.1626676619052887,0.0001250000059371814,78
0.2101610004901886,0.1620960235595703,0.0001250000059371814,79
0.2099129557609558,0.16209863126277924,0.0001250000059371814,80
0.2096855193376541,0.163138285279274,0.0001250000059371814,81
0.20984654128551483,0.16267241537570953,0.0001250000059371814,82
0.20952363312244415,0.1627417355775833,0.0001250000059371814,83
0.20976872742176056,0.1622864454984665,0.0001250000059371814,84
0.2094140201807022,0.1617898792028427,6.25000029685907e-05,85
0.2093859612941742,0.16194546222686768,6.25000029685907e-05,86
0.2090480625629425,0.16213585436344147,6.25000029685907e-05,87
0.20924662053585052,0.162212535738945,6.25000029685907e-05,88
0.20908205211162567,0.16211655735969543,6.25000029685907e-05,89
0.20899257063865662,0.1615588665008545,6.25000029685907e-05,90
0.20890513062477112,0.16201959550380707,6.25000029685907e-05,91
0.2089676856994629,0.1618732064962387,6.25000029685907e-05,92
0.20877833664417267,0.16204532980918884,6.25000029685907e-05,93
0.2089867740869522,0.16187208890914917,6.25000029685907e-05,94
0.20881402492523193,0.1618449091911316,6.25000029685907e-05,95
0.20870094001293182,0.16152188181877136,3.125000148429535e-05,96
0.20867763459682465,0.16135142743587494,3.125000148429535e-05,97
0.208727166056633,0.16172891855239868,3.125000148429535e-05,98
0.20850162208080292,0.1613309681415558,3.125000148429535e-05,99
0.20867964625358582,0.16153457760810852,3.125000148429535e-05,100
