date,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-01,0,17.2,15.5,90.0,0.0,,360.0,3.6,,1014.4,,5.0
2024-01-01,1,17.0,15.0,88.0,0.0,,50.0,11.2,,1014.2,,5.0
2024-01-01,2,17.0,14.1,83.0,0.0,,50.0,9.4,,1015.0,,5.0
2024-01-01,3,18.2,15.1,82.0,0.0,,50.0,3.6,,1015.6,,5.0
2024-01-01,4,19.0,15.1,78.0,0.0,,60.0,11.2,,1017.0,,5.0
2024-01-01,5,21.0,15.1,69.0,0.0,,60.0,16.6,,1016.0,,5.0
2024-01-01,6,24.0,17.0,65.0,0.0,,360.0,7.6,,1016.3,,5.0
2024-01-01,7,24.0,17.0,65.0,0.0,,30.0,9.4,,1014.0,,5.0
2024-01-01,8,26.0,17.1,58.0,0.0,,10.0,7.6,,1013.0,,5.0
2024-01-01,9,27.4,17.3,54.0,0.0,,50.0,7.6,,1013.1,,5.0
2024-01-01,10,27.0,15.1,48.0,0.0,,30.0,5.4,,1012.0,,5.0
2024-01-01,11,27.0,16.0,51.0,0.0,,40.0,9.4,,1012.0,,5.0
2024-01-01,12,26.6,17.4,57.0,0.0,,20.0,3.6,,1012.5,,5.0
2024-01-01,13,23.0,17.0,69.0,0.0,,0.0,0.0,,1013.0,,5.0
2024-01-01,14,22.0,16.9,73.0,0.0,,0.0,0.0,,1014.0,,5.0
2024-01-01,15,21.2,18.0,82.0,0.0,,0.0,0.0,,1014.7,,5.0
2024-01-01,16,21.0,17.0,78.0,0.0,,20.0,5.4,,1015.0,,5.0
2024-01-01,17,21.0,17.0,78.0,0.0,,70.0,11.2,,1015.0,,5.0
2024-01-01,18,20.8,16.2,75.0,0.0,,90.0,7.6,,1014.9,,5.0
2024-01-01,19,19.0,15.1,78.0,0.0,,70.0,13.0,,1014.0,,5.0
2024-01-01,20,18.0,15.1,83.0,0.0,,50.0,11.2,,1014.0,,5.0
2024-01-01,21,18.6,15.3,81.0,0.0,,70.0,7.6,,1014.6,,5.0
2024-01-01,22,18.0,15.1,83.0,0.0,,70.0,7.6,,1013.0,,5.0
2024-01-01,23,17.0,14.1,83.0,0.0,,40.0,9.4,,1014.0,,5.0
2024-01-02,0,17.6,14.9,84.0,0.0,,20.0,7.6,,1014.3,,5.0
2024-01-02,1,16.0,14.0,88.0,0.0,,40.0,13.0,,1014.0,,5.0
2024-01-02,2,16.0,14.0,88.0,0.0,,60.0,13.0,,1015.0,,5.0
2024-01-02,3,17.4,14.3,82.0,0.0,,90.0,9.4,,1015.5,,5.0
2024-01-02,4,18.0,14.1,78.0,0.0,,60.0,16.6,,1016.0,,5.0
2024-01-02,5,20.0,13.9,68.0,0.0,,60.0,14.8,,1015.0,,5.0
2024-01-02,6,22.0,15.8,68.0,0.0,,50.0,7.6,,1015.8,,5.0
2024-01-02,7,22.0,15.1,65.0,0.0,,40.0,13.0,,1013.0,,5.0
2024-01-02,8,23.0,16.1,65.0,0.0,,70.0,11.2,,1013.0,,5.0
2024-01-02,9,25.0,17.2,62.0,0.0,,50.0,7.6,,1012.7,,5.0
2024-01-02,10,25.0,17.0,61.0,0.0,,70.0,11.2,,1012.0,,5.0
